Gene stable ID
ENSVPAG00000000002
ENSVPAG00000000003
ENSVPAG00000000004
ENSVPAG00000000005
ENSVPAG00000000006
ENSVPAG00000000007
ENSVPAG00000000008
ENSVPAG00000000009
ENSVPAG00000000010
ENSVPAG00000000011
ENSVPAG00000000012
ENSVPAG00000000013
ENSVPAG00000000014
ENSVPAG00000000015
ENSVPAG00000000016
ENSVPAG00000000017
ENSVPAG00000000018
ENSVPAG00000000019
ENSVPAG00000000020
ENSVPAG00000000021
ENSVPAG00000000022
ENSVPAG00000000023
ENSVPAG00000000024
ENSVPAG00000000025
ENSVPAG00000000026
ENSVPAG00000000027
ENSVPAG00000000028
ENSVPAG00000000029
ENSVPAG00000000030
ENSVPAG00000000031
ENSVPAG00000000032
ENSVPAG00000000033
ENSVPAG00000000034
ENSVPAG00000000035
ENSVPAG00000000036
ENSVPAG00000000037
ENSVPAG00000000038
ENSVPAG00000000039
ENSVPAG00000000040
ENSVPAG00000000041
ENSVPAG00000000042
ENSVPAG00000000043
ENSVPAG00000000044
ENSVPAG00000000045
ENSVPAG00000000046
ENSVPAG00000000047
ENSVPAG00000000048
ENSVPAG00000000049
ENSVPAG00000000050
ENSVPAG00000000051
ENSVPAG00000000052
ENSVPAG00000000053
ENSVPAG00000000054
ENSVPAG00000000055
ENSVPAG00000000056
ENSVPAG00000000057
ENSVPAG00000000058
ENSVPAG00000000059
ENSVPAG00000000060
ENSVPAG00000000061
ENSVPAG00000000062
ENSVPAG00000000063
ENSVPAG00000000064
ENSVPAG00000000065
ENSVPAG00000000066
ENSVPAG00000000067
ENSVPAG00000000068
ENSVPAG00000000069
ENSVPAG00000000070
ENSVPAG00000000071
ENSVPAG00000000072
ENSVPAG00000000073
ENSVPAG00000000074
ENSVPAG00000000075
ENSVPAG00000000076
ENSVPAG00000000077
ENSVPAG00000000078
ENSVPAG00000000079
ENSVPAG00000000080
ENSVPAG00000000081
ENSVPAG00000000082
ENSVPAG00000000083
ENSVPAG00000000084
ENSVPAG00000000085
ENSVPAG00000000086
ENSVPAG00000000087
ENSVPAG00000000088
ENSVPAG00000000089
ENSVPAG00000000090
ENSVPAG00000000091
ENSVPAG00000000092
